log10_mf_eV,log10_epsilon
4.515283931461068,-9.713805689965445
4.515283931461068,-9.713805689965445
4.535261183769211,-9.63924932328312
4.535261183769211,-9.63924932328312
4.555272421666759,-9.56029487272382
4.555272421666759,-9.56029487272382
4.575283659564306,-9.478462452714925
4.575283659564306,-9.478462452714925
4.595260389017227,-9.390513585128438
4.595260389017227,-9.390513585128438
4.615271626914775,-9.300645664577047
4.615271626914775,-9.300645664577047
4.635282864812323,-9.206820078534138
4.635282864812323,-9.206820078534138
4.655260117120465,-9.108197470076732
4.655260117120465,-9.108197470076732
4.675271355018014,-9.005776405544161
4.675271355018014,-9.005776405544161
4.695282592915561,-8.89931837581078
4.695282592915561,-8.89931837581078
4.715259322368482,-8.787463085863326
4.715259322368482,-8.787463085863326
4.73527056026603,-8.67049113467314
4.73527056026603,-8.67049113467314
4.755281798163578,-8.548242092828348
4.755281798163578,-8.548242092828348
4.775259050471719,-8.41991625326061
4.775259050471719,-8.41991625326061
4.795270288369268,-8.286633571864257
4.795270288369268,-8.286633571864257
4.815281526266816,-8.111655103321326
4.815281526266816,-8.111655103321326
4.8352582557197366,-7.999560084252696
4.8352582557197366,-7.999560084252696
4.855269493617285,-7.846329255984655
4.855269493617285,-7.846329255984655
4.875280731514833,-7.686422002191854
4.875280731514833,-7.686422002191854
4.895257983822974,-7.518479247856557
4.895257983822974,-7.518479247856557
4.915269221720523,-7.344740294769659
4.915269221720523,-7.344740294769659
4.93528045961807,-7.160886968761243
4.93528045961807,-7.160886968761243
4.955257711926213,-6.966958919685958
4.955257711926213,-6.966958919685958
4.975268949823761,-6.765835946986686
4.975268949823761,-6.765835946986686
4.995280187721309,-6.555198229167709
4.995280187721309,-6.555198229167709
5.015256917174229,-6.3346858675483855
5.015256917174229,-6.3346858675483855
5.035268155071778,-6.103659584472258
5.035268155071778,-6.103659584472258
5.055279392969325,-5.862119989937087
5.055279392969325,-5.862119989937087
5.0752566452774674,-5.60910694746266
5.0752566452774674,-5.60910694746266
5.0952678831750156,-5.344260558368335
5.0952678831750156,-5.344260558368335
5.115279121072564,-5.06686102529283
5.115279121072564,-5.06686102529283
5.135255850525484,-4.776549669551036
5.135255850525484,-4.776549669551036
5.155267088423032,-4.472565823931495
5.155267088423032,-4.472565823931495
5.17527832632058,-4.1543104706301595
5.17527832632058,-4.1543104706301595
5.195255578628722,-3.8210638122857485
5.195255578628722,-3.8210638122857485
5.21526681652627,-3.4721862662429235
5.21526681652627,-3.4721862662429235
5.235278054423818,-3.106838170579813
5.235278054423818,-3.106838170579813
5.2552547838767385,-2.7288972810808794
5.2552547838767385,-2.7288972810808794
5.275266021774287,-2.323612326823099
5.275266021774287,-2.323612326823099
5.295277259671835,-1.9040555598846431
